Date,Price,Open,High,Low,Vol.,Change %
16/12/2020,1.3196,1.323,1.3266,1.3194,64.77K,-0.23%
17/12/2020,1.3118,1.3198,1.3218,1.3089,60.04K,-0.59%
18/12/2020,1.3113,1.312,1.319,1.3106,64.33K,-0.04%
21/12/2020,1.318,1.3162,1.3402,1.3141,97.97K,0.51%
22/12/2020,1.3293,1.3185,1.3304,1.3171,85.21K,0.86%
23/12/2020,1.3196,1.3292,1.3304,1.317,77.76K,-0.73%
24/12/2020,1.3167,1.3204,1.3217,1.3145,64.69K,-0.22%
25/12/2020,1.3158,1.3163,1.3202,1.3133,6.11K,-0.07%
28/12/2020,1.3193,1.3187,1.3233,1.3117,68.46K,0.27%
29/12/2020,1.3146,1.3196,1.3197,1.3115,59.31K,-0.36%
30/12/2020,1.3009,1.3147,1.3155,1.3009,65.76K,-1.04%
31/12/2020,1.2994,1.301,1.3024,1.2915,73.49K,-0.12%
01/01/2021,1.2977,1.2996,1.3002,1.2978,1.16K,-0.13%
04/01/2021,1.3046,1.2983,1.3087,1.2917,89.35K,0.53%
05/01/2021,1.2883,1.3045,1.3054,1.2855,87.31K,-1.25%
06/01/2021,1.2816,1.2887,1.2932,1.2786,107.49K,-0.52%
07/01/2021,1.287,1.2817,1.2945,1.279,89.55K,0.42%
08/01/2021,1.2885,1.2881,1.294,1.2822,94.52K,0.12%
11/01/2021,1.2985,1.2894,1.3045,1.2867,78.32K,0.78%
12/01/2021,1.2863,1.2991,1.301,1.2855,83.33K,-0.94%
13/01/2021,1.2928,1.2866,1.2951,1.285,78.00K,0.51%
14/01/2021,1.2855,1.2931,1.294,1.2809,80.94K,-0.56%
15/01/2021,1.298,1.2857,1.3019,1.2838,81.10K,0.97%
18/01/2021,1.3014,1.2976,1.3058,1.2959,67.26K,0.26%
19/01/2021,1.2992,1.3019,1.3034,1.2943,73.57K,-0.17%
20/01/2021,1.2907,1.2996,1.3003,1.2885,70.16K,-0.65%
21/01/2021,1.2878,1.291,1.2919,1.2847,71.87K,-0.22%
22/01/2021,1.2957,1.2879,1.2984,1.2869,76.80K,0.61%
25/01/2021,1.2972,1.2948,1.3017,1.2905,81.06K,0.12%
26/01/2021,1.2912,1.2964,1.304,1.2895,69.18K,-0.46%
27/01/2021,1.3046,1.2915,1.3083,1.2879,89.84K,1.04%
28/01/2021,1.3016,1.3049,1.3173,1.2989,97.76K,-0.23%
29/01/2021,1.3082,1.3023,1.3105,1.2977,103.66K,0.51%
01/02/2021,1.312,1.3081,1.3148,1.3048,101.63K,0.29%
02/02/2021,1.3144,1.3122,1.3223,1.3049,77.58K,0.18%
03/02/2021,1.3125,1.3146,1.3157,1.3111,65.45K,-0.14%
04/02/2021,1.3156,1.3127,1.318,1.3074,70.53K,0.24%
05/02/2021,1.3023,1.3156,1.3189,1.302,70.35K,-1.01%
08/02/2021,1.2984,1.3061,1.3071,1.296,62.89K,-0.30%
09/02/2021,1.292,1.2979,1.2989,1.2917,60.78K,-0.49%
10/02/2021,1.2948,1.2921,1.296,1.289,79.77K,0.22%
11/02/2021,1.2898,1.295,1.2967,1.2866,54.59K,-0.39%
12/02/2021,1.2888,1.29,1.2958,1.2878,52.99K,-0.08%
15/02/2021,1.285,1.2895,1.2907,1.2837,49.38K,-0.29%
16/02/2021,1.2888,1.2853,1.2914,1.2809,67.01K,0.30%
17/02/2021,1.2897,1.2891,1.2947,1.2866,90.99K,0.07%
18/02/2021,1.2872,1.2901,1.2936,1.2837,87.71K,-0.19%
19/02/2021,1.2705,1.2874,1.2893,1.2694,102.58K,-1.30%
22/02/2021,1.2626,1.272,1.2736,1.2611,86.94K,-0.62%
23/02/2021,1.2639,1.2632,1.2692,1.2601,90.25K,0.10%
24/02/2021,1.2547,1.2641,1.2666,1.2541,101.51K,-0.73%
25/02/2021,1.27,1.255,1.2724,1.2486,119.29K,1.22%
26/02/2021,1.2975,1.2703,1.3001,1.2684,130.50K,2.17%
01/03/2021,1.2862,1.2966,1.2989,1.2842,108.13K,-0.87%
02/03/2021,1.2788,1.2865,1.2928,1.2758,117.00K,-0.58%
03/03/2021,1.2858,1.2791,1.287,1.2756,107.95K,0.55%
04/03/2021,1.2942,1.2862,1.2974,1.2795,122.62K,0.65%
05/03/2021,1.3007,1.2938,1.3119,1.2935,121.35K,0.50%
08/03/2021,1.307,1.3008,1.3096,1.2948,115.73K,0.48%
09/03/2021,1.2967,1.3068,1.3123,1.2943,109.05K,-0.79%
10/03/2021,1.2927,1.2959,1.3041,1.2909,79.93K,-0.31%
11/03/2021,1.2834,1.2928,1.295,1.283,71.75K,-0.72%
12/03/2021,1.2875,1.2838,1.2946,1.2817,77.99K,0.32%
15/03/2021,1.2893,1.291,1.2977,1.2859,69.34K,0.14%
16/03/2021,1.2908,1.2895,1.2969,1.2885,61.71K,0.12%
17/03/2021,1.2822,1.2914,1.2989,1.2803,64.90K,-0.67%
18/03/2021,1.2883,1.2825,1.2905,1.2738,84.10K,0.48%
19/03/2021,1.2913,1.2888,1.2958,1.2865,77.38K,0.23%
22/03/2021,1.2907,1.2944,1.3009,1.289,55.35K,-0.05%
23/03/2021,1.3113,1.2909,1.313,1.2903,59.96K,1.60%
24/03/2021,1.3186,1.312,1.3192,1.3095,54.52K,0.56%
25/03/2021,1.3193,1.3189,1.3223,1.3132,54.25K,0.05%
26/03/2021,1.3094,1.3192,1.3203,1.308,52.02K,-0.75%
29/03/2021,1.3103,1.3091,1.3133,1.306,61.04K,0.07%
30/03/2021,1.316,1.3106,1.3185,1.3046,68.78K,0.44%
31/03/2021,1.3158,1.3163,1.318,1.3094,63.31K,-0.02%
01/04/2021,1.3125,1.3163,1.3277,1.3124,76.56K,-0.25%
02/04/2021,1.3146,1.3128,1.3167,1.3091,30.09K,0.16%
03/04/2021,1.307,,,,,
05/04/2021,1.307,1.3151,1.3162,1.3053,40.92K,-0.58%
06/04/2021,1.3048,1.3068,1.3148,1.3039,53.42K,-0.17%
07/04/2021,1.313,1.3049,1.3157,1.3024,61.87K,0.63%
